,Quarter 1,,,,Quarter 2,,,,,,Quarter 3,,,,Quarter 4,,,,,
Market year*,Jan,Feb,Mar,Q1,Apr,May,,,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Avg,frozen or chilled
2019,3.75,4.00,5.10,4.19,2.90,2.58,,,2.20,2.51,NA,NA,NA,#DIV/0!,NA,NA,NA,#DIV/0!,3.29,
2018,4.16,3.87,5.14,4.40,5.50,2.58,,,5.61,4.10,4.45,5.63,4.79,4.89,3.53,4.99,2.55,3.39,4.15,
2017,3.52,3.50,4.75,3.88,4.88,5.06,,,3.39,4.36,5.28,3.79,5.83,4.65,4.93,5.59,3.21,4.65,4.39,
2016,4.07,6.55,4.91,5.11,4.27,3.05,,,4.91,3.76,4.64,3.74,4.16,4.09,2.94,3.50,4.10,3.55,4.11,
2015,3.70,2.34,3.94,3.57,3.04,3.40,,,2.32,3.00,2.88,5.19,3.25,3.89,2.53,4.68,4.05,3.87,3.53,
Market year*,Jan,Feb,Mar,Q1,Apr,May,,,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Avg,frozen
2019,0.45,0.43,0.49,0.46,0.43,0.44,,,0.44,0.44,NA,NA,NA,#DIV/0!,NA,NA,NA,#DIV/0!,0.45,
2018,0.49,0.47,0.44,0.47,0.47,0.48,,,0.48,0.47,0.44,0.46,0.47,0.46,0.49,0.53,0.52,0.52,0.48,
2017,0.43,0.48,0.51,0.48,0.68,0.54,,,0.51,0.59,0.51,0.46,0.59,0.53,0.56,0.52,0.51,0.53,0.52,
2016,0.57,0.49,0.43,0.50,0.43,0.47,,,0.47,0.46,0.45,0.45,0.44,0.45,0.42,0.42,0.38,0.40,0.46,
2015,0.45,0.44,0.43,0.44,0.41,0.50,,,0.46,0.45,0.45,0.48,0.48,0.47,0.45,0.48,0.56,0.50,0.47,
Market year*,Jan,Feb,Mar,Q1,Apr,May,,,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Avg,Prepared or preserved
2019,0.58,0.57,0.60,0.58,0.57,0.60,,,0.60,0.59,NA,NA,NA,#DIV/0!,NA,NA,NA,#DIV/0!,0.59,
2018,0.56,0.58,0.58,0.58,0.55,0.58,,,0.59,0.57,0.59,0.59,0.59,0.59,0.60,0.60,0.59,0.60,0.58,
2017,0.55,0.54,0.56,0.55,0.56,0.55,,,0.56,0.56,0.56,0.54,0.55,0.55,0.55,0.57,0.56,0.56,0.55,
2016,0.55,0.55,0.54,0.55,0.55,0.55,,,0.58,0.56,0.57,0.57,0.56,0.57,0.57,0.57,0.57,0.57,0.56,
2015,0.54,0.54,0.52,0.53,0.53,0.55,,,0.55,0.54,0.56,0.54,0.52,0.54,0.54,0.56,0.57,0.55,0.54,
